Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,SET PIECE,THROW IN,1,8720,348.8,8720,348.8,Player4,,,,,
Home,PASS,,1,8720,348.8,8761,350.44,Player4,Player6,23.319999999999997,-34.68,22.259999999999998,-17.0
Home,PASS,,1,8820,352.8,8862,354.48,Player6,Player5,19.080000000000005,-12.919999999999996,19.080000000000005,4.08
Home,PASS,,1,8914,356.56,8932,357.28,Player5,Player6,11.659999999999998,11.559999999999999,11.659999999999998,2.040000000000002
Home,PASS,,1,8991,359.64,9021,360.84,Player6,Player4,9.539999999999997,3.3999999999999995,7.419999999999995,-16.32
Home,PASS,,1,9126,365.04,9146,365.84,Player4,Player8,-8.480000000000002,-23.799999999999997,-13.780000000000001,-31.959999999999997
Home,PASS,,1,9170,366.8,9207,368.28,Player8,Player4,-13.780000000000001,-31.279999999999998,-7.420000000000001,-26.52
Home,PASS,,1,9261,370.44,9291,371.64,Player4,Player3,-8.480000000000002,-22.439999999999998,4.240000000000004,-12.240000000000004
Home,PASS,,1,9331,373.24,9373,374.92,Player3,Player5,5.300000000000004,-8.84,0.0,17.68
Home,PASS,,1,9399,375.96,9429,377.16,Player5,Player1,-1.060000000000001,19.040000000000003,-12.719999999999999,31.959999999999997
Home,PASS,,1,9459,378.36,9474,378.96,Player1,Player5,-10.599999999999998,30.6,-1.060000000000001,25.16
Home,BALL LOST,INTERCEPTION,1,9474,378.96,9483,379.32,Player5,,-1.060000000000001,25.16,-4.2399999999999975,14.959999999999997
Away,RECOVERY,INTERCEPTION,1,9481,379.24,9481,379.24,Player23,,-3.180000000000003,17.0,,
Away,BALL LOST,INTERCEPTION,1,9481,379.24,9523,380.92,Player23,,-3.180000000000003,17.0,4.240000000000004,5.440000000000001
Home,RECOVERY,INTERCEPTION,1,9523,380.92,9523,380.92,Player3,,4.240000000000004,4.08,,
Home,PASS,,1,9523,380.92,9539,381.56,Player3,Player6,4.240000000000004,4.08,-2.120000000000002,9.520000000000001
Home,CHALLENGE,GROUND-WON,1,9562,382.48,9562,382.48,Player6,,-1.060000000000001,8.16,,
Away,CHALLENGE,GROUND-LOST,1,9565,382.6,9565,382.6,Player20,,-2.120000000000002,8.84,,
Home,PASS,,1,9579,383.16,9612,384.48,Player6,Player2,-1.060000000000001,7.479999999999999,15.900000000000002,6.799999999999999
Home,PASS,,1,9612,384.48,9649,385.96,Player2,Player4,15.900000000000002,6.799999999999999,8.479999999999995,-8.16
Home,PASS,,1,9688,387.52,9715,388.6,Player4,Player10,5.300000000000004,-11.560000000000002,-20.14,-2.040000000000002
Home,PASS,,1,9760,390.4,9810,392.4,Player10,Player8,-23.319999999999997,-9.520000000000001,-32.86,-30.599999999999998
Home,BALL LOST,INTERCEPTION,1,9905,396.2,9920,396.8,Player8,,-44.519999999999996,-19.720000000000002,-46.64,-4.080000000000004
Away,CHALLENGE,GROUND-WON,1,9919,396.76,9919,396.76,Player17,,-46.64,-3.400000000000003,,
Away,RECOVERY,INTERCEPTION,1,9919,396.76,9919,396.76,Player17,,-46.64,-3.400000000000003,,
Away,BALL OUT,,1,9919,396.76,9950,398.0,Player17,,-46.64,-3.400000000000003,-54.06,-10.200000000000001
Home,CHALLENGE,GROUND-LOST,1,9920,396.8,9920,396.8,Player9,,-45.58,-4.759999999999996,,
Home,SET PIECE,CORNER KICK,1,10463,418.52,10463,418.52,Player5,,,,,
Home,BALL LOST,INTERCEPTION,1,10463,418.52,10508,420.32,Player5,,-44.519999999999996,-34.0,-48.760000000000005,-5.439999999999998
Away,RECOVERY,INTERCEPTION,1,10506,420.24,10506,420.24,Player23,,-49.82,-4.759999999999996,,
Away,BALL OUT,HEAD,1,10506,420.24,10612,424.48,Player23,,-49.82,-4.759999999999996,-24.38,-34.68
Home,SET PIECE,THROW IN,1,10715,428.6,10715,428.6,Player4,,,,,
Home,PASS,,1,10715,428.6,10765,430.6,Player4,Player2,-14.840000000000002,-34.0,2.120000000000002,-22.439999999999998
